position,gsis_id,display_name,rookie_year,college_conference,draft_number,status,team_abbr,height,weight,college_name,years_of_experience,birth_date,team_seq,player_id,season,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fumbles_lost
RB,00-0036265,A.J. Dillon,2020.0,Atlantic Coast Conference,62.0,ACT,PHI,73.0,250.0,Boston College,5,1998-05-02,,00-0036265,2023,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,178,613.0,2,0.0,0.0,32.0,-23.49627604587461,0,22,28,223.0,0,0.0,0.0,1.0,231.0,10.0,5.780031336733373,0,-40.31309523809524,0.8363686704059823,-0.024195771968065015,1.2376159652313279,0.0,95.60000000000001,117.60000000000001,15,0.054901960784313725,0.00022361359570661896,0.14085365853658535,0.08253183205303588,0.06177285318559557,0.0,0.05434782608695652,0.04716981132075472,0.030886426592797785,0.04941828254847646,0.4372549019607843,0.0893956670467503,0.0
WR,00-0038612,A.T. Perry,2023.0,Atlantic Coast Conference,195.0,ACT,DEN,77.0,205.0,Wake Forest,2,1999-10-26,,00-0038612,2023,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,12,18,246.0,4,0.0,0.0,293.0,20.0,10.0,19.071494034456784,0,6.563505115574081,0.5782089762110046,1.2961994393081329,1.7746530718321998,0.0,48.6,60.6,8,0.06741573033707865,0.13717228464419476,0.025839793281653745,0.2108614232209738,0.12739513205592956,0.23529411764705882,0.10416666666666667,0.12389380530973451,0.1813446248514942,0.14897492917415542,0.9213483146067416,0.08266943140892721,0.0
QB,00-0031288,AJ McCarron,2014.0,Southeastern Conference,164.0,ACT,CIN,75.0,220.0,Alabama,8,1990-09-13,1.0,00-0031288,2015,79,119,854.0,6,2.0,12.0,63.0,0,0,972.0,317.0,44.0,9.479409237945266,0,5.548374432938334,0.5094415566785071,14,31.0,0,1.0,1.0,3.0,-4.520448194933124,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,55.260000000000005,55.260000000000005,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09013211547871473,1.0
QB,00-0031288,AJ McCarron,2014.0,Southeastern Conference,164.0,ACT,CIN,75.0,220.0,Alabama,8,1990-09-13,1.0,00-0031288,2017,7,14,66.0,0,0.0,1.0,9.0,0,0,105.0,57.0,3.0,-2.589030095085036,0,1.214600146735143,0.023061438188223073,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.64,2.64,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027385892116182572,0.0
QB,00-0031288,AJ McCarron,2014.0,Southeastern Conference,164.0,ACT,CIN,75.0,220.0,Alabama,8,1990-09-13,1.0,00-0031288,2018,1,3,8.0,0,0.0,1.0,7.0,0,0,7.0,1.0,0.0,-2.6052306575584225,0,1.1428571428571428,0.0,3,-2.0,0,0.0,0.0,0.0,-3.2460008922498673,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010334137099552187,0.0
QB,00-0031288,AJ McCarron,2014.0,Southeastern Conference,164.0,ACT,CIN,75.0,220.0,Alabama,8,1990-09-13,1.0,00-0031288,2019,21,37,225.0,0,1.0,5.0,43.0,0,0,313.0,130.0,11.0,-8.248081752069993,0,0.7305194805194806,0.005363953484853481,5,39.0,1,0.0,0.0,3.0,0.5990348655031994,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.9,16.9,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.1307442364227139,0.0
QB,00-0031288,AJ McCarron,2014.0,Southeastern Conference,164.0,ACT,CIN,75.0,220.0,Alabama,8,1990-09-13,1.0,00-0031288,2020,1,1,20.0,0,0.0,1.0,12.0,0,0,18.0,2.0,1.0,-1.2490409561432898,0,1.1111111111111112,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004061738424045492,0.0
QB,00-0031288,AJ McCarron,2014.0,Southeastern Conference,164.0,ACT,CIN,75.0,220.0,Alabama,8,1990-09-13,1.0,00-0031288,2023,4,5,19.0,0,0.0,1.0,9.0,0,0,-8.0,20.0,0.0,-5.251072044600733,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.76,0.76,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038696537678207733,0.0
WR,00-0032441,Aaron Burbridge,2016.0,Big Ten Conference,213.0,ACT,DEN,73.0,208.0,Michigan State,3,1993-12-23,1.0,00-0032441,2016,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,7,16,88.0,0,0.0,0.0,139.0,43.0,5.0,-1.150844018335441,0,4.431547619047619,0.5247489470315557,0.5972315270398361,1.2051854894752188,0.0,8.8,15.8,8,0.06299212598425197,0.06737760542898691,0.047149122807017545,0.14839027331956747,0.04756756756756757,0.0,0.05952380952380952,0.05154639175257732,0.023783783783783784,0.03805405405405406,0.3464566929133858,0.02509928514694202,0.0
RB,00-0033293,Aaron Jones,2017.0,Conference USA,182.0,ACT,MIN,69.0,208.0,Texas-El Paso,8,1994-12-02,1.0,00-0033293,2017,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,81,448.0,4,0.0,0.0,21.0,9.967644628952257,0,9,18,22.0,0,0.0,0.0,-5.0,30.0,2.0,-6.943527009435178,0,-0.9090909090909092,0.5635796357644582,-0.02203945485878111,0.8299418352455408,0.0,71.0,80.0,10,0.05389221556886228,-0.0019157088122605363,0.032679738562091505,0.07930575630348498,0.011652542372881356,0.0,0.02040816326530612,0.017699115044247787,0.005826271186440678,0.009322033898305085,0.0658682634730539,0.10214243762927402,0.0
